CompanyName,Logo,Location,Description,Batch,Industry,SubIndustry
Zelos Cloud,https://bookface-images.s3.amazonaws.com/small_logos/4ca0ecc537f7ce785f91c1050c2526cde53e2f22.png,,The First Cloud Platform for Firmware Development and Testing,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Pandan,https://bookface-images.s3.amazonaws.com/small_logos/41031e36591201230dd71959adfd291eb51bdb67.png,"San Francisco, CA, USA; Redwood City, CA, USA",Non-Technical Users Create Internal Tools with Natural Language,S23,B2B SOFTWARE AND SERVICES,OPERATIONS
Pointhound,https://bookface-images.s3.amazonaws.com/small_logos/40b1408d460a3a16dec85a47b33e6e53de1a2201.png,"Remote; San Francisco, CA, USA",Find and book free flights using points and miles,S23,CONSUMER,"TRAVEL, LEISURE AND TOURISM"
Intelliga Health,https://bookface-images.s3.amazonaws.com/small_logos/884de79932d28cc6795ab185894807fbafff0a76.png,"San Francisco, CA, USA; Remote",Automating insurance workflows for medical practices,S23,HEALTHCARE,HEALTHCARE IT
Sohar Health,https://bookface-images.s3.amazonaws.com/small_logos/85a21f742119122fbacaa422c72877b9188fb85a.png,"Remote; San Francisco, CA, USA; London, England, United Kingdom; Copenhagen, Denmark",Medical coding for behavioral health,S23,HEALTHCARE,HEALTHCARE IT
Remy Security,https://bookface-images.s3.amazonaws.com/small_logos/b15d35ff3ab467d696fce344305c3f44a673f3da.png,"San Francisco, CA, USA",AI-powered security design reviews.,S23,B2B SOFTWARE AND SERVICES,SECURITY
Sweetspot,https://bookface-images.s3.amazonaws.com/small_logos/a79b55d183cf50585284ac78d352c360c2514da5.png,"San Francisco, CA, USA; Austin, TX, USA",AI-Powered Search Engine for Government Contracts.,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
ChatSeed,https://bookface-images.s3.amazonaws.com/small_logos/812f5783451e68e4e206d6ce2b8084b65ce28842.png,"San Francisco, CA, USA",ChatGPT for Developers,S23,B2B SOFTWARE AND SERVICES,
Ohmic Biosciences,https://bookface-images.s3.amazonaws.com/small_logos/5b68cb6a90af9c37176d63232ab7f6372925388d.png,"Alameda, CA, USA",Genetically engineering plants for disease resistance.,S23,INDUSTRIALS,AGRICULTURE
Linc.,https://bookface-images.s3.amazonaws.com/small_logos/b4dfe042d86555241f416bc157b7951897545353.png,"San Francisco, CA, USA","Email Copilot for Shippers, Carriers and Brokers",S23,B2B SOFTWARE AND SERVICES,
Watto AI,https://bookface-images.s3.amazonaws.com/small_logos/62df8d00aee97fbc37cd80f37caca0808a69a3a4.png,"San Francisco, CA, USA; Seattle, WA, USA",Transform your scattered domain knowledge into powerful documents,S23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
Dioxus Labs,https://bookface-images.s3.amazonaws.com/small_logos/9c857de01ac0dcd9450546b9d0375b049abacf5a.png,"San Francisco, CA, USA; Remote",Build and deploy apps for every platform.,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Elyos Energy,https://bookface-images.s3.amazonaws.com/small_logos/d86b08e41706ee1485385c94c3ea3b3a935e1ec8.png,"London, England, United Kingdom",The platform for energy flexibility and demand response,S23,INDUSTRIALS,CLIMATE
Mano AI,https://bookface-images.s3.amazonaws.com/small_logos/8b9da8afc4597aab4b97ebe6cfbca8106e73d357.png,"San Francisco, CA, USA; New York, NY, USA",Your LLM-powered helping hand,S23,CONSUMER,
Metoro,https://bookface-images.s3.amazonaws.com/small_logos/88e61bbf9339cdf60b5c9f1533c46a3f6d35d2c0.png,"San Francisco, CA, USA; London, England, United Kingdom",Your on-call co-pilot for troubleshooting production issues.,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Xeol,https://bookface-images.s3.amazonaws.com/small_logos/3d8557d5066f2f1e94f1be8ddc427697b79cc8d1.png,"New York, NY, USA",Modern platform for software supply chain security,S23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
Nectar,https://bookface-images.s3.amazonaws.com/small_logos/de9f4149cd942c84280076828e4bb9a176b1cb8f.png,"San Francisco, CA, USA",Making ESG data more auditable,S23,B2B SOFTWARE AND SERVICES,
Reworkd AI,https://bookface-images.s3.amazonaws.com/small_logos/14d7f659465afb1fc0e4ceb2346886ebe4766294.png,"San Francisco, CA, USA",The Open Source Zapier of AI Agents,S23,B2B SOFTWARE AND SERVICES,
Leafpress,https://bookface-images.s3.amazonaws.com/small_logos/370d7c64da873eff1df0d05556f372fa9bf24aeb.png,"San Francisco, CA, USA",ESG Software for Real Estate,S23,B2B SOFTWARE AND SERVICES,
Kino AI,https://bookface-images.s3.amazonaws.com/small_logos/236edce8d65891082c7aa4675c370a79d943bee2.png,,Kino organizes your video footage automatically,S23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
kapa.ai,https://bookface-images.s3.amazonaws.com/small_logos/52f1f14da4423d9b23130946d8eeb2b97e9d3f67.png,"Copenhagen, Denmark; Frankfurt, HE, Germany",ChatGPT for developer-facing products,S23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
PeerDB,https://bookface-images.s3.amazonaws.com/small_logos/4a83477f0ae90481f26400baea36bd4c2fed890a.png,Remote,"Modern ETL in minutes, with SQL",S23,B2B SOFTWARE AND SERVICES,ANALYTICS
Artie,https://bookface-images.s3.amazonaws.com/small_logos/582c077a00ed962f57931e3efc9a5d27387311c1.png,"San Francisco, CA, USA",Real-time data streaming for databases and data warehouses,S23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
HyLight,https://bookface-images.s3.amazonaws.com/small_logos/17e115f6387d31c268302079d59ab1981c37d8ca.png,"Paris, Île-de-France, France",Small unmanned hydrogen airships for long range monitoring,S23,INDUSTRIALS,DRONES
HockeyStack,https://bookface-images.s3.amazonaws.com/small_logos/90725285723955c6a718c11c6de42fac109093c5.png,"San Francisco, CA, USA; Remote",Connect & visualize B2B customer data with no code,S23,B2B SOFTWARE AND SERVICES,ANALYTICS
Pando Bioscience,https://bookface-images.s3.amazonaws.com/small_logos/fcb2bf6569db61c3592824679114d563e4d1438c.png,"Boston, MA, USA; Remote",Decipher complex diseases using protein networks,W23,HEALTHCARE,HEALTHCARE SERVICES
Apollo Group,https://bookface-images.s3.amazonaws.com/small_logos/124a8a199f897f1ece13596ccccd53579443504b.png,Remote,Managed marketplace for back-office services,W23,CONSUMER,
Vaero,https://bookface-images.s3.amazonaws.com/small_logos/e8880a43b4d78bdcd9007972307a7188143b601c.png,"San Francisco, CA, USA",Fivetran for log data,W23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
Yuma,https://bookface-images.s3.amazonaws.com/small_logos/ceaaf3ee1d1c8d7d55aece8929b00691bf066e26.png,Remote,ChatGPT for customer support,W23,B2B SOFTWARE AND SERVICES,OPERATIONS
Pierre,https://bookface-images.s3.amazonaws.com/small_logos/2f9dd3a5bbb2a2b8bc7fda0243ab22453a6fff15.png,"San Francisco, CA, USA; New York, NY, USA",Building a better github,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
moonrepo,https://bookface-images.s3.amazonaws.com/small_logos/3de25b12e8aab670255b22d53c12d30ccd142ae5.png,"Remote; Portland, OR, USA",Open source build tool for monorepos and large codebases,W23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
Automat (formerly lasso),https://bookface-images.s3.amazonaws.com/small_logos/46adba02c0bd4a8c6ddb6eea751389a76b3358bb.png,"San Francisco, CA, USA",robotic process automation for chrome using ChatGPT and computer…,W23,B2B SOFTWARE AND SERVICES,OPERATIONS
SpecCheck,https://bookface-images.s3.amazonaws.com/small_logos/e0a3c07cf6fd105816972e25920b72ed037437e2.png,"Remote; Los Angeles, CA, USA",Unifying how the optical industry does business.,W23,B2B SOFTWARE AND SERVICES,
SpeedyBrand,https://bookface-images.s3.amazonaws.com/small_logos/0411b685c297834944f38c4af4578bf836b3e82e.png,Remote,Generative-AI powered Marketing Content for SMBs,W23,B2B SOFTWARE AND SERVICES,MARKETING
Finta,https://bookface-images.s3.amazonaws.com/small_logos/557c98b8f70c89cba35c85bc1777b4bb74ad2bf9.png,"Remote; San Francisco, CA, USA",Modern accounting software for startups,W23,B2B SOFTWARE AND SERVICES,FINANCE AND ACCOUNTING
BerriAI,https://bookface-images.s3.amazonaws.com/small_logos/90fb5f79659d32f2b48bdbb1e9541b4c58361bae.png,"San Francisco, CA, USA",Stop OpenAI Errors w/ 1 line of code 👈,W23,B2B SOFTWARE AND SERVICES,
Theya,https://bookface-images.s3.amazonaws.com/small_logos/57042ecd2926bcb4a43d14403b927a2ae844ffdc.png,"San Francisco, CA, USA",The world's simplest Bitcoin self-custody solution,W23,FINANCIAL TECHNOLOGY,CONSUMER FINANCE
Upfront,https://bookface-images.s3.amazonaws.com/small_logos/64bc7d2ab06b73e7323c804eee3a9f3f49bba2e6.png,,Turning rebates into instantly lower prices,W23,B2B SOFTWARE AND SERVICES,RETAIL
Warp,https://bookface-images.s3.amazonaws.com/small_logos/be7c4d8032d06482f5da78417363955bf91ea915.png,"Remote; New York, NY, USA",Full-Stack Payroll for Remote Startups,W23,B2B SOFTWARE AND SERVICES,
Second,https://bookface-images.s3.amazonaws.com/small_logos/23eb4fe2ce21be8fedf041808035faafb7a1643d.png,,Automated migrations and upgrades for every codebase,W23,B2B SOFTWARE AND SERVICES,
Atri Labs,https://bookface-images.s3.amazonaws.com/small_logos/413ee0ce7cbb49b50ecad10dcbf461f73e381677.png,"Remote; San Francisco, CA, USA; Bengaluru, KA, India; New York, NY, USA",Open-source web framework for Python developers,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Jaldi,https://bookface-images.s3.amazonaws.com/small_logos/979228a0b43364f4460d979f86eba39b3216cee9.png,"New York, NY, USA; Remote",The online supermarket for South Asians in the US,W23,CONSUMER,
Lightski,https://bookface-images.s3.amazonaws.com/small_logos/46c0ccd59cd9c61a81c3d502e48025e0dea1e604.png,"San Francisco, CA, USA",AI-Powered Sales Assistant,W23,B2B SOFTWARE AND SERVICES,SALES
Type,https://bookface-images.s3.amazonaws.com/small_logos/bc11e3b5d5c63e530292978c10dd488c2993855a.png,,The AI-first document editor.,W23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
Meru,https://bookface-images.s3.amazonaws.com/small_logos/00edfb93127d4366b2f890aa7fb0274a122e45c2.png,"San Francisco, CA, USA",Answer Every Question with Agent-Based Retrieval Augmented Generation.,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Persana AI,https://bookface-images.s3.amazonaws.com/small_logos/a54e3efb23eef28188f31aa1420682360665bae5.png,"San Francisco, CA, USA",Intelligent sales copilot powered by fine tuned models,W23,B2B SOFTWARE AND SERVICES,SALES
Serial,https://bookface-images.s3.amazonaws.com/small_logos/a8354b5bea40df992c6f00ba3131da07c65e1300.png,"San Francisco, CA, USA; Remote",Root cause manufacturing issues in seconds,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Kyber,https://bookface-images.s3.amazonaws.com/small_logos/3004c4a72b716a80763763b95bf3e212c448756e.png,"San Jose, CA, USA; New York, NY, USA; Remote",Automating the Insurance Industry with LLMs,W23,B2B SOFTWARE AND SERVICES,OPERATIONS
Escape,https://bookface-images.s3.amazonaws.com/small_logos/b4f2dd64a7e6eed13a24457daafdaa5723f661a7.png,"San Francisco, CA, USA; Paris, Île-de-France, France; Remote",Business Logic Security Testing for Developers & Security Teams,W23,B2B SOFTWARE AND SERVICES,SECURITY
Keeling Labs,https://bookface-images.s3.amazonaws.com/small_logos/96c0f2be5c049e0d754ea3c0d933d810e212ead6.png,Remote,We optimize how large batteries in the grid buy & sell energy,W23,INDUSTRIALS,ENERGY
Modulari-T,https://bookface-images.s3.amazonaws.com/small_logos/cdfde836f1d168c7ec0299ab6b4daf90d112f929.png,"San Francisco, CA, USA; Montreal, QC, Canada",We teach your immune system to attack and cure cancer,W23,HEALTHCARE,THERAPEUTICS
Koala Ops,https://bookface-images.s3.amazonaws.com/small_logos/2051debd2ddc50b321426f669aa98a0120dfc537.png,"Tel Aviv-Yafo, Tel Aviv District, Israel",A platform for developing microservices on Kubernetes,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Metal,https://bookface-images.s3.amazonaws.com/small_logos/2e5fad3137daf298585abed13d17be64f0e9318b.png,"New York, NY, USA",Machine learning embeddings as a service,W23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
Texel.ai,https://bookface-images.s3.amazonaws.com/small_logos/b7fa956db067e60a154f7f7120ecc4d4cdc7062f.png,"Remote; New York, NY, USA; Austin, TX, USA",Run AI pipelines 10x faster,W23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
Vector,https://bookface-images.s3.amazonaws.com/small_logos/b70243c70a98bce0a40f7c76f9cf47c45b7ea399.png,"Remote; Raleigh, NC, USA; Boston, MA, USA",Reinventing how companies build pipeline,W23,B2B SOFTWARE AND SERVICES,SALES
Pier,https://bookface-images.s3.amazonaws.com/small_logos/eb10300785960d3b48dfff648ae5ee0f8ba40cfc.png,"San Francisco, CA, USA",Stripe for Credit - End-to-end credit infra via API,W23,B2B SOFTWARE AND SERVICES,
AiFlow,https://bookface-images.s3.amazonaws.com/small_logos/f080fe37341cad02ffda9e0865cea281c0783ef5.png,"San Francisco, CA, USA",LLMs automating Market Research in seconds,W23,B2B SOFTWARE AND SERVICES,FINANCE AND ACCOUNTING
Finni Health,https://bookface-images.s3.amazonaws.com/small_logos/040abcfa7f35e870153693b5040b7ebd5ca04b53.png,"San Francisco, CA, USA; Toronto, ON, Canada; Remote",Empowering Autism Care Providers to Go Independent,W23,HEALTHCARE,CONSUMER HEALTH AND WELLNESS
Invitris,https://bookface-images.s3.amazonaws.com/small_logos/b31c6e14e61e0a7e292383c88d7094914a492565.png,"Munich, BY, Germany; Remote",Creating new protein-based drugs at scale,W23,HEALTHCARE,DRUG DISCOVERY AND DELIVERY
Adventris Pharmaceuticals,https://bookface-images.s3.amazonaws.com/small_logos/5c8bb0a987c29df94410bb9cc6ab7db9eb0d6478.png,"San Francisco, CA, USA; Baltimore, MD, USA; Remote",Adventris makes cancer vaccines,W23,HEALTHCARE,DRUG DISCOVERY AND DELIVERY
highlight.io,https://bookface-images.s3.amazonaws.com/small_logos/0d4301601e4f70936655aa2574a0bf0a798fe1bd.png,"Remote; San Francisco, CA, USA; Seattle, WA, USA; Irvine, CA, USA","The open source, fullstack monitoring platform: stop guessing why…",W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Untether Labs,https://bookface-images.s3.amazonaws.com/small_logos/89a118853f7ef1ffaf38dcc3929f98219859af74.png,,Scheduling software for digital health clinics to do more with less.,W23,HEALTHCARE,
Luca,https://bookface-images.s3.amazonaws.com/small_logos/c1a38009f747692e81bd13516e12a87a399aead1.png,"Remote; San Francisco, CA, USA",The Pricing Co-Pilot for Enterprise Retailers,W23,B2B SOFTWARE AND SERVICES,RETAIL
Drift Bio,https://bookface-images.s3.amazonaws.com/small_logos/b21cb7e03a08a3e1c3660a13918b22962def3d98.png,"Remote; San Francisco, CA, USA",The operating system for life sciences data,W23,B2B SOFTWARE AND SERVICES,ANALYTICS
BidSight,https://bookface-images.s3.amazonaws.com/small_logos/0fa3ad36c706b4f37c0153f792b37dce4177ce0f.png,"New York, NY, USA",AI-powered cost management for real estate developers.,W23,REAL ESTATE AND CONSTRUCTION,
Fabius,https://bookface-images.s3.amazonaws.com/small_logos/3146a62c7afd679b4aadd44a003d88caa00ec656.png,"San Francisco, CA, USA",AI to improve Sales Calls,W23,B2B SOFTWARE AND SERVICES,SALES
Vocode,https://bookface-images.s3.amazonaws.com/small_logos/aad057fc105425dc8b99aca0064ab8e6964e0c28.png,"San Francisco, CA, USA; Remote",Open source voice AI on top of LLMs,W23,B2B SOFTWARE AND SERVICES,
Wallbit Pay,https://bookface-images.s3.amazonaws.com/small_logos/2bd230c57e976bda7a089a71ba01e77661e9effd.png,"San Francisco, CA, USA; Buenos Aires, CABA, Argentina; Remote",Neobank for global remote workers,W23,FINANCIAL TECHNOLOGY,BANKING AND EXCHANGE
Vellum,https://bookface-images.s3.amazonaws.com/small_logos/4cdc37dab125e7d4bef1e071544a86e8c3b5ff64.png,Remote,Developer platform for building great AI applications,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
BabylonAI,https://bookface-images.s3.amazonaws.com/small_logos/57ef98ac3583d491d0bb92c18331206d3a6c8852.png,"San Francisco, CA, USA; Zürich, ZH, Switzerland; Remote",Datadog for machine learning on edge devices,W23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
Interlock,https://bookface-images.s3.amazonaws.com/small_logos/44b280429db3b577a7ef33365ca61d1d4b25dfee.png,"San Francisco, CA, USA; San Jose, CA, USA",We are still in stealth mode.,W23,FINANCIAL TECHNOLOGY,
Persist AI,https://bookface-images.s3.amazonaws.com/small_logos/eeb1e38a6ca6e6061c101deae73f22c28c142596.png,"Woodland, CA, USA; Remote",Developing long-lasting drug formulations 50% faster,W23,HEALTHCARE,DRUG DISCOVERY AND DELIVERY
Berry,https://bookface-images.s3.amazonaws.com/small_logos/59005c33d3a0d40259f58fdc4a12bc21a5d29d73.png,"Remote; San Francisco, CA, USA; Seattle, WA, USA","A Chrome extension that turns any web app multiplayer, like Figma",W23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
Conduit,https://bookface-images.s3.amazonaws.com/small_logos/ea7954b24f30e8936a78fc9d1858af118961360f.png,"San Francisco, CA, USA; Remote",Software for warehouses to automate schedules with trucks.,W23,B2B SOFTWARE AND SERVICES,SUPPLY CHAIN AND LOGISTICS
Codeparrot,https://bookface-images.s3.amazonaws.com/small_logos/ac9613c13eeb99583812534b595d2e9fdb2fd12b.png,"San Francisco, CA, USA; Bengaluru, KA, India",Continuous testing platform for APIs,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
SuperAPI,https://bookface-images.s3.amazonaws.com/small_logos/c11e1c8d036fe535bd716bcbde93721f71fc8801.png,"Bengaluru, KA, India; Chennai, TN, India",Programmable API gateway that makes APIs cacheable,W23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
Fern,https://bookface-images.s3.amazonaws.com/small_logos/884fb2f50da3c4151657d7b8e82ec485436cc6a6.png,"San Francisco, CA, USA; Seattle, WA, USA",Generate SDKs and documentation for your API,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Unstatiq,https://bookface-images.s3.amazonaws.com/small_logos/af3059058003a3ba0dc3c9e9913eec5036b1e46b.png,"Remote; San Francisco, CA, USA",Automatic data validation using AI,W23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
Resend,https://bookface-images.s3.amazonaws.com/small_logos/73e2adf3cda0385fe2c9ae7d54bc3742fed58d47.png,"Remote; San Francisco, CA, USA",Email API for developers,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Decoherence,https://bookface-images.s3.amazonaws.com/small_logos/f94db94fecb6caeddf74db8361e363b129136926.png,"Seattle, WA, USA",Create video from prompts,W23,CONSUMER,CONTENT
Map3,https://bookface-images.s3.amazonaws.com/small_logos/5b5448be1d4303d71b60a0e22c1539ee42fb4774.png,"Remote; New York, NY, USA",Crypto Treasury Ops Automation For Fintechs,W23,FINANCIAL TECHNOLOGY,PAYMENTS
Constant,https://bookface-images.s3.amazonaws.com/small_logos/b0f3c94a7859923f3ba272902a34a8093dda07dd.png,"Remote; New York, NY, USA",Private credit investment platform,W23,FINANCIAL TECHNOLOGY,ASSET MANAGEMENT
Common Paper,https://bookface-images.s3.amazonaws.com/small_logos/1a5fd0218aaaf79164dd214261cfc4cec6d668f8.png,"Remote; Philadelphia, PA, USA",The SAFE for commercial contracts,W23,B2B SOFTWARE AND SERVICES,SALES
Dill,https://bookface-images.s3.amazonaws.com/small_logos/6354365dd8a078eedfebf117d50c6ac01a2401b6.png,Remote,Dill is a digital invoicing tool for foodservice distributors,W23,B2B SOFTWARE AND SERVICES,FINANCE AND ACCOUNTING
DealPage,https://bookface-images.s3.amazonaws.com/small_logos/0924ae2bfb6e80a39b630341e1ac4ad79c4c4a27.png,"New York, NY, USA; Remote",AI-Powered RFP and Security Questionnaire Software,W23,B2B SOFTWARE AND SERVICES,SALES
Littio,https://bookface-images.s3.amazonaws.com/small_logos/9e23dd28085a1e8e08c55a386fdd94d4eed49462.png,"Remote; Bogotá, Bogota, Colombia",Dollar banking for people in Latin America,W23,FINANCIAL TECHNOLOGY,CONSUMER FINANCE
Thread,https://bookface-images.s3.amazonaws.com/small_logos/fe1ab28914af8d00a360fa68da95751ee8c4470e.png,"San Francisco, CA, USA; New York, NY, USA; Remote",Incident Management platform for large enterprises,W23,B2B SOFTWARE AND SERVICES,
Waza,https://bookface-images.s3.amazonaws.com/small_logos/92a57e4deee6a07f869cbb379f62bfb1f52114d2.png,"Lagos, LA, Nigeria; Remote",B2B payments platform for emerging markets.,W23,FINANCIAL TECHNOLOGY,PAYMENTS
Rivet,https://bookface-images.s3.amazonaws.com/small_logos/d86cdccdbe5ac0cca90f11411b742e0591d1b874.png,"Remote; San Francisco, CA, USA; Phoenix, AZ, USA",Heroku for multiplayer games,W23,CONSUMER,GAMING
Sorted,https://bookface-images.s3.amazonaws.com/small_logos/12cc8fc655f814db94872047b9f30cc7991aede8.png,"Remote; San Francisco, CA, USA; Copenhagen, Denmark",Instant SaaS management,W23,B2B SOFTWARE AND SERVICES,OPERATIONS
DAGWorks Inc.,https://bookface-images.s3.amazonaws.com/small_logos/94a18b5c0cc3a340150d731fa97acee3a6a56ebd.png,"Remote; San Francisco, CA, USA",Unifying Platform Layer for Data & ML Pipelines,W23,B2B SOFTWARE AND SERVICES,
Swishjam,https://bookface-images.s3.amazonaws.com/small_logos/d607b93f3da26fde36fd956fe7b3fb67f045e121.png,"Remote; Los Angeles, CA, USA",Open-source page speed tools to help you build incredible experiences,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Invopop,https://bookface-images.s3.amazonaws.com/small_logos/c09f91b840f8f6e3d460a90c1be16b55caaf240a.png,"San Francisco, CA, USA; London, England, United Kingdom; Madrid, Community of Madrid, Spain; Remote",We help global software companies comply with local tax reporting,W23,B2B SOFTWARE AND SERVICES,FINANCE AND ACCOUNTING
Turntable,https://bookface-images.s3.amazonaws.com/small_logos/2dfe803e31176ba4760f7416a30ab05e1f66d7a4.png,"New York, NY, USA; Austin, TX, USA; Remote",AI-native operating system for analytics teams,W23,B2B SOFTWARE AND SERVICES,ANALYTICS
CorgiAI,https://bookface-images.s3.amazonaws.com/small_logos/f84a70f253ad5e7573daf8ad0dbc790eb6e7ab9e.png,Remote,"CorgiAI is payment fraud prevention software for ecommerce, travel…",W23,B2B SOFTWARE AND SERVICES,ANALYTICS
Stralis Aircraft,https://bookface-images.s3.amazonaws.com/small_logos/67947093536f80ec72184b51287e3a58f8211696.png,"Brisbane, QLD, Australia; Remote",Emission free hydrogen electric aircraft,W23,INDUSTRIALS,AVIATION AND SPACE
Keep,https://bookface-images.s3.amazonaws.com/small_logos/ca57c15ee63fa6b716d10d0f8f29a5e1732f44e4.png,"San Francisco, CA, USA; Tel Aviv-Yafo, Tel Aviv District, Israel; Remote",Open-source alert management for software developers.,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
PlayHT,https://bookface-images.s3.amazonaws.com/small_logos/3d4c9619438357f2137d8fd295cf819f695c073d.png,"Remote; Mountain View, CA, USA",Generate or clone voices and turn any text into human-like speech.,W23,B2B SOFTWARE AND SERVICES,
Holacasa,https://bookface-images.s3.amazonaws.com/small_logos/fc19f43b45570416927b1af2d9854ae283c9ca39.png,"Remote; Mexico City, CDMX, Mexico; Monterrey, N.L., Mexico",End-to-end mortgage solution for Real Estate homebuyer's in LatAm,W23,REAL ESTATE AND CONSTRUCTION,HOUSING AND REAL ESTATE
Planar,https://bookface-images.s3.amazonaws.com/small_logos/8c313e432cf422cbdcafd73a0e60c0412817ba9a.png,"New York, NY, USA",Superhuman for code review,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Clad,https://bookface-images.s3.amazonaws.com/small_logos/5ab0e3d7b0de12617818a986b541a5e524c146ae.png,"New York, NY, USA",Software to build the internet faster.,W23,REAL ESTATE AND CONSTRUCTION,CONSTRUCTION
Pylon,https://bookface-images.s3.amazonaws.com/small_logos/412a6b3ef532664df77532bc5d7ae3c1233de965.png,"San Francisco, CA, USA","Scale B2B Sales and Support on Slack, Teams, and Discord",W23,B2B SOFTWARE AND SERVICES,OPERATIONS
Muffin Data,https://bookface-images.s3.amazonaws.com/small_logos/114d8e98d0c660d1f014c3be491efb93b593f25c.png,,Modern analytics for CPG brands,W23,B2B SOFTWARE AND SERVICES,ANALYTICS
Peeba,https://bookface-images.s3.amazonaws.com/small_logos/1201a58c5de47a287ab4ea6a262a2598a1e6f3af.png,"Jakarta, Jakarta, Indonesia; Hong Kong, Hong Kong; Remote",Risk-free wholesale for retailers across Southeast Asia,W23,B2B SOFTWARE AND SERVICES,
Diffuse Bio,https://bookface-images.s3.amazonaws.com/small_logos/961a0aa4b25ffd0049a0526af8ad2406763125f4.png,Remote,Generative AI for protein therapeutics,W23,HEALTHCARE,DRUG DISCOVERY AND DELIVERY
inBuild,https://bookface-images.s3.amazonaws.com/small_logos/565db1f58d2ff6409bb5c8eb3aefcdbc3f515329.png,"San Francisco, CA, USA; Wilmington, DE, USA; Aspen, CO, USA; Remote",Workflow Automation for Construction Finance,W23,B2B SOFTWARE AND SERVICES,
Sanvivo,https://bookface-images.s3.amazonaws.com/small_logos/2ccaf529126f9d95946ed5ba74aa3dd498334a60.png,"Munich, BY, Germany; Remote",Shopify for pharmacies in Europe,W23,HEALTHCARE,HEALTHCARE IT
clearspace,https://bookface-images.s3.amazonaws.com/small_logos/c529e630330060d36da2e82926d0dc5adad8c217.png,"San Francisco, CA, USA",eliminate compulsive phone usage,W23,CONSUMER,
Quazel,https://bookface-images.s3.amazonaws.com/small_logos/4dc1521a5287171de5e9e325a1d9cd3e611558bf.png,Remote,Language learning with a conversational AI Tutor,W23,EDUCATION,
Milio,https://bookface-images.s3.amazonaws.com/small_logos/b20ca0d6ea153d334a9f63f5b2c7e991839b0369.png,"Mexico City, CDMX, Mexico; Bogotá, Bogota, Colombia; Remote",B2B payments and cash management platform,W23,FINANCIAL TECHNOLOGY,
Mantys,https://bookface-images.s3.amazonaws.com/small_logos/ab148653f771ae83b42b2726259e7e2be8e1e60a.png,"Bengaluru, KA, India; Remote",ARR Tracking and Forecasting for SaaS companies,W23,B2B SOFTWARE AND SERVICES,ANALYTICS
Proglix,https://bookface-images.s3.amazonaws.com/small_logos/b934ac4e6592338ecfb6059eed0e744a22a3698a.png,"Jakarta, Jakarta, Indonesia; Remote",B2B Marketplace for Raw Materials in Indonesia,W23,INDUSTRIALS,
Coldreach,https://bookface-images.s3.amazonaws.com/small_logos/01cfd7370853173c26a810e2aec87fd55f289393.png,"Remote; San Francisco, CA, USA; Ann Arbor, MI, USA","Personalized prospecting at scale, tailored to your needs",W23,B2B SOFTWARE AND SERVICES,SALES
MagnaPlay,https://bookface-images.s3.amazonaws.com/small_logos/8a49da32dac6e6235ca09c99fefeffdc43ec7122.png,"Remote; San Francisco, CA, USA; São Paulo, SP, Brazil",AI-powered game translation.,W23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
